               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  89,              1.7963,               1.206,              1.9982,             0.81596,                0.85,             0.92192,             0.48113,                   0,                   0,                   0,            0.001288,            0.001288,            0.001288
                  90,              1.8058,              1.1835,              1.8588,             0.85299,             0.87092,             0.93056,             0.49097,                   0,                   0,                   0,            0.001189,            0.001189,            0.001189
                  91,              1.8447,              1.2347,              1.9832,             0.86179,                 0.8,             0.90638,             0.51213,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                  92,              1.7521,              1.1552,              1.8978,             0.85182,                 0.8,             0.90253,             0.48494,                   0,                   0,                   0,            0.000991,            0.000991,            0.000991
                  93,              1.7811,              1.1381,              1.8495,             0.85371,             0.87595,             0.90927,             0.50628,                   0,                   0,                   0,            0.000892,            0.000892,            0.000892
                  94,              1.7656,              1.1149,              1.8611,             0.94939,             0.93839,             0.95448,             0.52114,                   0,                   0,                   0,            0.000793,            0.000793,            0.000793
                  95,              1.6819,              1.0671,               1.827,             0.94736,             0.89979,             0.94287,             0.51797,                   0,                   0,                   0,            0.000694,            0.000694,            0.000694
                  96,              1.7698,              1.1537,              1.8033,             0.94968,             0.94391,             0.94564,             0.51415,                   0,                   0,                   0,            0.000595,            0.000595,            0.000595
                  97,              1.7551,              1.1564,              1.8859,             0.89729,                0.95,             0.93831,             0.55063,                   0,                   0,                   0,            0.000496,            0.000496,            0.000496
                  98,               1.747,              1.1465,              1.9485,             0.88191,                0.95,             0.93612,             0.58398,                   0,                   0,                   0,            0.000397,            0.000397,            0.000397
                  99,               1.705,              1.1134,              1.8289,             0.90387,                0.95,              0.9455,             0.58494,                   0,                   0,                   0,            0.000298,            0.000298,            0.000298
